Source.Name;Time;P1;Q;P2
FE08P100M1.txt;0.0000000000000000e+000;1.5000000000000000e+000;-4.0000000000000000e+000;1.5000000000000000e+000
FE08P100M1.txt;1.0000000000000023e-001;3.2180872396682592e+000;-3.9278808917270127e+000;1.9600815402925871e+000
FE08P100M1.txt;2.0000000000000046e-001;8.4702802431752762e+000;-3.6118413633766204e+000;4.4067980603526786e+000
FE08P100M1.txt;3.0000000000000071e-001;1.4598067558497672e+001;-3.0557769517952873e+000;9.6619460554501373e+000
FE08P100M1.txt;4.0000000000000091e-001;2.0715754569470160e+001;-2.2936224139807795e+000;1.6194883361683669e+001
FE08P100M1.txt;5.0000000000000111e-001;2.6724531280523731e+001;-1.3452959501525639e+000;2.2844222714025424e+001
FE08P100M1.txt;6.0000000000000131e-001;3.2544494114562823e+001;-2.2145911334479074e-001;2.9297361926122996e+001
FE08P100M1.txt;7.0000000000000151e-001;3.8130810374583611e+001;1.0704261921821177e+000;3.5486295303749166e+001
FE08P100M1.txt;8.0000000000000171e-001;4.3467626025681483e+001;2.5235002289501773e+000;4.1393700702918935e+001
FE08P100M1.txt;9.0000000000000191e-001;4.8554692114729129e+001;4.1309206660129423e+000;4.7010894821862259e+001
FE08P100M1.txt;1.0000000000000022e+000;5.3399134851719097e+001;5.8856239543124449e+000;5.2329868330023416e+001
FE08P100M1.txt;1.1000000000000025e+000;5.8008079192439958e+001;7.6666804857060828e+000;5.7333591215462043e+001
FE08P100M1.txt;1.2000000000000028e+000;6.2373043706325099e+001;9.3607318604528533e+000;6.1991576806553866e+001
FE08P100M1.txt;1.3000000000000032e+000;6.6469289357743293e+001;1.0972112918173838e+001;6.6292392457353529e+001
FE08P100M1.txt;1.4000000000000035e+000;7.0266378509670929e+001;1.2504881079833805e+001;7.0231327672462740e+001
FE08P100M1.txt;1.5000000000000038e+000;7.3731869603856566e+001;1.3962883411725947e+001;7.3800900890848112e+001
FE08P100M1.txt;1.6000000000000041e+000;7.6819795305423028e+001;1.5349778336946539e+001;7.7010440629556101e+001
FE08P100M1.txt;1.7000000000000044e+000;7.9485991921413358e+001;1.6669033417808262e+001;7.9848987667912112e+001
FE08P100M1.txt;1.8000000000000047e+000;8.1679392741841284e+001;1.7923947510682929e+001;8.2289290052008184e+001
FE08P100M1.txt;1.9000000000000050e+000;8.3340988157231479e+001;1.9117658845380948e+001;8.4294673950038344e+001
FE08P100M1.txt;2.0000000000000053e+000;8.4520594942058423e+001;2.0253152106381709e+001;8.5877935353795706e+001
FE08P100M1.txt;2.1000000000000054e+000;8.5227392669798576e+001;2.1333266596411729e+001;8.7061894877939721e+001
FE08P100M1.txt;2.2000000000000055e+000;8.5565544118122062e+001;2.2360703306510551e+001;8.7883113932755379e+001
FE08P100M1.txt;2.3000000000000056e+000;8.5700209838674795e+001;2.3338031719063050e+001;8.8441631996792040e+001
FE08P100M1.txt;2.4000000000000057e+000;8.5765327137762341e+001;2.4267694574356298e+001;8.8851094134681077e+001
FE08P100M1.txt;2.5000000000000058e+000;8.5837613434026935e+001;2.5152017237009002e+001;8.9201307377369687e+001
FE08P100M1.txt;2.6000000000000059e+000;8.5949007093288117e+001;2.5993211306080042e+001;8.9547855408971856e+001
FE08P100M1.txt;2.7000000000000060e+000;8.6106308333912878e+001;2.6793379880076554e+001;8.9917662774734367e+001
FE08P100M1.txt;2.8000000000000060e+000;8.6305217231191207e+001;2.7554523737160302e+001;9.0319487795015647e+001
FE08P100M1.txt;2.9000000000000061e+000;8.6537538221711017e+001;2.8278546155853533e+001;9.0752183628071023e+001
FE08P100M1.txt;3.0000000000000062e+000;8.6794736777911055e+001;2.8967257577478364e+001;9.1210228016760411e+001
FE08P100M1.txt;3.1000000000000063e+000;8.7069306990620518e+001;2.9622380160770177e+001;9.1686805483490645e+001
FE08P100M1.txt;3.2000000000000064e+000;8.7355207476512163e+001;3.0245552028960674e+001;9.2175339507508482e+001
FE08P100M1.txt;3.3000000000000065e+000;8.7647857306776629e+001;3.0838331443431755e+001;9.2670266511091697e+001
FE08P100M1.txt;3.4000000000000066e+000;8.7943825860107893e+001;3.1402200670285580e+001;9.3167102652917393e+001
